Model,Dataset,ModularityScore
RN101-quickgelu,openai,0.8594907558
RN101-quickgelu,yfcc15m,0.846946256
RN50x4,openai,0.8418252732
RN50x16,openai,0.871907201
ViT-B-16-plus-240,laion400m_e32,0.8994151342
ViT-L-14,openai,0.8476351122
ViT-L-14,laion400m_e31,0.8754496603
RN50,openai,0.8588536027
RN50,yfcc15m,0.8529543347
RN50,cc12m,0.8473881527
RN50-quickgelu,openai,0.8588536027
RN50-quickgelu,yfcc15m,0.8529543347
RN50-quickgelu,cc12m,0.8473881527
RN101,openai,0.8594907558
RN101,yfcc15m,0.846946256
ViT-B-32,commonpool_m_clip_s128m_b4k,0.8288958994
ViT-B-32,commonpool_m_laion_s128m_b4k,0.7941453071
ViT-B-32,commonpool_m_image_s128m_b4k,0.8022272177
ViT-B-32,commonpool_m_text_s128m_b4k,0.8374468975
ViT-B-32,commonpool_m_basic_s128m_b4k,0.8234680608
ViT-B-32,commonpool_m_s128m_b4k,0.808468172
ViT-B-32,datacomp_s_s13m_b4k,0.8279601773
ViT-B-32,commonpool_s_clip_s13m_b4k,0.8001830336
ViT-B-32,commonpool_s_laion_s13m_b4k,0.8277713598
ViT-B-32,commonpool_s_image_s13m_b4k,0.8279601773
ViT-B-32,commonpool_s_text_s13m_b4k,0.834319144
ViT-B-32,commonpool_s_basic_s13m_b4k,0.8235811549
ViT-B-32,commonpool_s_s13m_b4k,0.8350007312
ViT-B-32-256,datacomp_s34b_b86k,0.9255561511
ViT-B-32-quickgelu,openai,0.8505147616
ViT-B-16,commonpool_l_clip_s1b_b8k,0.9095646001
ViT-B-16,commonpool_l_laion_s1b_b8k,0.8757960345
ViT-B-16,commonpool_l_image_s1b_b8k,0.9043965957
ViT-B-16,commonpool_l_text_s1b_b8k,0.8998099655
ViT-B-32-quickgelu,laion400m_e31,0.884936575
ViT-B-32-quickgelu,laion400m_e32,0.8871281032
ViT-B-16,openai,0.8526870651
ViT-B-16,laion400m_e31,0.8935407601
ViT-B-16,laion400m_e32,0.8938584615
ViT-B-16,laion2b_s34b_b88k,0.8969854979
ViT-B-16,datacomp_xl_s13b_b90k,0.9033511459
ViT-B-16,datacomp_l_s1b_b8k,